Component name,Qty.,Notes
1 KΩ resistor,3,"Through hole, >200 mW is enough"
10 KΩ resistor,2,"Through hole, >200 mW is enough"
180 Ω resistor,3,"Through hole, >200 mW is enough"
220 Ω resistor,1,"Through hole, >200 mW is enough"
220 µF capacitor,1,
Red LED 5mm,1,"For the ""MSR"" indicator LED"
Blue LED 5mm,1,"For the ""SET"" indicator LED"
Grove LCD RGB backlight display v4.0,1,"See, e.g., https://wiki.seeedstudio.com/Grove-LCD_RGB_Backlight/"
F625Z bearing with flange,1,"See, e.g., https://www.123kugellager.ch/kugellager-gehauselager/rillenkugellager/einreihig/f625-zz-ezo"
"12V, >2.2A DC power supply with 5.5mm jack",1,"See, e.g., https://www.distrelec.ch/en/plug-in-power-supply-240v-2a-27w-euro-type-cee-16-plug-mm-barrel-plug-rnd-rnd-320-00060/p/30178142"
DC power socket for 5.5mm jack,1,"See, e.g., https://www.distrelec.ch/en/dc-power-connector-socket-straight-5x5-5x10mm-rnd-rnd-205-00906/p/30129726?pos=5&origPos=15&origPageSize=50&track=true&sid=8wnP6QggZ5&itemList=category"
Speaker,1,"Circular, 50mm diameter, see, e.g., https://www.distrelec.ch/en/speaker-driver-full-range-driver-50mm-2w-8ohm-83db-visaton-50-ohm/p/13040474"
Grove sound sensor,1,"See, e.g., https://wiki.seeedstudio.com/Grove-Sound_Sensor/"
Grove DPS310 High Precision Barometer,4,"See, e.g., https://www.distrelec.ch/en/dps310-high-precision-barometric-pressure-sensor-breakout-seeed-studio-101020812/p/30172316"
Noctua NF-f12 industrialPPC-3000-PWM fan,2,"See, e.g., https://noctua.at/en/nf-f12-industrialppc-3000-pwm"
NEMA 17 stepper motor,1,"You will need a cable to connect the motor to the motor driver (A4988, see below). What cable will depend on the motor you use."
NEMA 17 stepper motor bracket (90 degrees),1,"See, e.g., https://www.omc-stepperonline.com/nema-17-bracket-for-stepper-motor-and-geared-stepper-motor-alloy-steel-bracket-st-m1"
Grove - 8 Channel I2C Multiplexer/I2C Hub (TCA9548A),1,"See, e.g., https://wiki.seeedstudio.com/Grove-8-Channel-I2C-Multiplexer-I2C-Hub-TCA9548A/"
Grove - 2.5A DC Current Sensor (ACS70331),2,"See, e.g., https://wiki.seeedstudio.com/Grove-2.5A-DC-Current-Sensor-ACS70331/. No longer in production."
Arduino Mega Rev3,1,"See, e.g., https://store.arduino.cc/products/arduino-mega-2560-rev3?srsltid=AfmBOop82AY3qkEYjLyoYC5Ljk_lyRTTUfCJWFeTdFd5juhVK_8JKbqm"
Grove Base Shield V2.0 for Arduino,1,"See, e.g., https://www.seeedstudio.com/Base-Shield-V2.html?srsltid=AfmBOoqOH96XPrrsqLAjfNW_5yyeByuQaPA7X6pnoucYt22LWYAaethH"
Breadboard or protoboard,1,"See, e.g., https://www.distrelec.ch/en/perma-proto-half-sized-pcb-breadboard-single-adafruit-1609/p/30091149"
MCP4151-103E/P Digital Potentiometer,2,"See, e.g., https://www.distrelec.ch/en/digital-potentiometer-10kohm-spi-dip-microchip-mcp4151-103e/p/30302024"
LM386N-1/NOPB Audio Amplifier,1,"See, e.g., https://www.reichelt.com/ch/de/shop/produkt/audio-_video-ic_1-kanal_dil-8-217312"
A4988 Stepper Motor Driver (with headers),1,"See, e.g., https://www.pololu.com/product/1182"
M3 drive-in nut,8,"See, e.g., https://www.galaxus.ch/en/s4/product/ep-m3-drive-in-nuts-m3-nuts-washers-6056981"
"Sufficient M2, M3 and M4 nuts, bolts and spacers",NA,NA
"Sufficient Dupont & jumper cables (male-male, male-female, etc.)",NA,"See, e.g., https://www.digitec.ch/en/s1/product/purecrea-jumperkabel-cables-plugs-34239672"
Lasercut materials,NA,See lasercut blueprints
USB-A to USB-B cable,1,"See, e.g., https://www.digitec.ch/en/s1/product/delock-usb-a-usb-b-050-m-usb-20-usb-cables-11752477"
Grove Connector Cables,NA,"The sensors and LED display are usually sold with a Grove cable. If the cable is too short for assembly, you might need to buy longer ones, e.g., https://www.mouser.ch/ProductDetail/Seeed-Studio/110990064"
